,Vernier,Time,Cam,L,Lambda,Lp,Ld
0,3.020911640916102e-29,8.921259880065918,1.165350443647879,1.3993681210299032,0.8956359225994539,1.3994244167724024,1.3944502886764354
1,-1.1274195729075159e-28,0.337874174118042,0.9821899813992516,1.3993681210299032,0.8956359225994539,1.3970756901443426,1.4028037600990582
2,4.207587127538453e-28,0.3370938301086426,0.9030302784986084,1.3993681210299032,0.8956359225994539,1.3982837955519558,1.3993413670271213
3,-1.5702928937246298e-27,0.3370687961578369,1.2424986264190543,1.3993681210299032,0.8956359225994539,1.3994244167724024,1.3992130168390575
4,6.264309645617832e-27,0.33908534049987793,1.1034272235454226,1.3993681210299032,0.8956359225994539,1.3917586538052262,1.4028037600990582
5,-2.0255771420961434e-26,0.3400599956512451,1.2085441393571648,1.3993681210299032,0.8956359225994539,1.398827413500452,1.4047969342907718
6,8.16250213572716e-26,0.3370656967163086,1.127507141204415,1.3993681210299032,0.8956359225994539,1.3994244167724024,1.3937893147720548
7,-3.3047812101651445e-25,0.34096455574035645,1.1312460388509784,1.3993681210299032,0.8956359225994539,1.398827413500452,1.4000013272370395
8,1.0334923095705294e-24,0.3390941619873047,1.3173368539429804,1.3993681210299032,0.8956359225994539,1.4012019743360333,1.3985451918650549
9,-4.242930817684399e-24,0.33099889755249023,1.1314006934652674,1.3993681210299032,0.8956359225994539,1.3970756901443426,1.3985451918650549
10,1.583483338459794e-23,0.34846997261047363,1.1314006934652674,1.3993681210299032,0.8956359225994539,1.3970756901443426,1.3985451918650549
11,-5.909640272070736e-23,0.33906078338623047,1.1353525984496604,1.3993681210299032,0.8956359225994539,1.3964755190851872,1.4047969342907718
12,1.9408099789653462e-22,0.3344848155975342,1.204632171453341,1.3993681210299032,0.8956359225994539,1.3994244167724024,1.3985451918650549
13,-8.760462664756125e-22,0.34043240547180176,1.01165314374952,1.3993681210299032,0.8956359225994539,1.402991231504791,1.3986838763054943
14,2.8601178147770685e-21,0.3380594253540039,1.166747620662428,1.3993681210299032,0.8956359225994539,1.3994244167724024,1.397879814738566
